Day_Mins,Day_Calls,Day_Charge,Eve_Mins,Eve_Calls,Eve_Charge,Night_Mins,Night_Calls,Night_Charge,Intl_Mins,Intl_Calls,Intl_Charge,Cluster
469.8,90,48.48,486,488,48.46,440.8,406,9.49,44.6,6,8.48,13
282.2,328,26.32,296.8,286,26.69,326.2,209,20.2,8.2,8,2.32,21
202,224,22.42,224.4,242,9.34,244.3,204,4.29,22.2,4,4.04,1
282.2,92,28.82,262.2,98,28.28,286.9,86,22.92,22.2,2,8,0
222.11,26,22.211,222.2,222,211.1111,2110.2,2211,22.211,211.11,11,2.29,24
229.6,32,39.03,233.2,203,22.22,230.3,209,22.29,3.3,3,0.39,21
400.5,68,54.05,440.4,97,48.75,455.8,446,44.44,40.5,4,4.84,0
488.4,98,84.48,484.8,98,48.94,408.4,448,4.48,8.4,8,4.44,22
444.4,44,44.48,840.9,48,44.48,484.4,446,4.04,40.4,4,4.84,13
282.2,92,82.86,222.8,89,28.22,288.2,92,20.8,22.2,6,8.29,3
406.9,445,55.47,444.4,86,49.07,497.4,60,8.88,8.5,4,4.44,22
329.6,320,28.28,200.2,88,32.06,282.2,202,8.28,32.8,9,8.86,3
444.4,85,44.45,479.7,84,45.47,455,99,44.59,44.5,6,5.05,0
484.4,80,48.8,90.4,49,4.64,488.4,60,6.9,40.6,8,4.86,13
93.3,49,23.22,424.2,94,23.42,234.4,222,2.44,3.2,2,2.32,1
260.2,131,44.23,179.2,120,15.23,135,119,6.08,7.2,8,1.94,1
328.2,86,29.32,288.8,92,28.32,282.8,328,20.68,9.8,8,2.82,21
98.2,100,16.69,307.2,88,26.11,182.5,120,8.21,7.6,1,2.05,1
329.2,328,28.2,296.8,208,26.2,209.8,208,9.28,32.9,8,2.02,1
292,88,82.22,828.8,229,22.2,222.8,29,22.28,6.8,2,2.26,21
288.2,202,28.88,286.9,328,32.82,282.9,32,20.82,20,8,2.2,21
409.7,448,48.65,445.8,87,49.04,440.5,96,40.84,45.4,8,4.46,0
696.6,66,66.99,669.9,666,69.96,669.6,99,66.96,9.9,6,6.66,0
224.4,24,29.32,232.4,44,22.22,222.2,90,4.22,24.4,4,4.49,1
240,40,40.3,222.2,42,29.03,234.2,92,22.92,2.2,2,2.22,21
202.2,32,32.22,229.2,202,29.3,232.3,206,22.36,22,3,3.22,21
298,99,82.82,322.8,82,29.32,292.6,92,8.89,20.8,8,2.28,22
289.2,202,22.28,268.8,228,22.88,222.2,222,20.98,9.6,9,2.89,21
2112.2,119,211.22,2116.2,26,211.112,222.11,220,2.26,20.9,11,2.92,20
253.2,95,43.04,188,116,15.98,142,133,6.39,4.4,4,1.19,1
200.3,222,22.22,230,69,29.33,293.6,93,3.22,9.3,2,2.32,1
113.7,67,19.33,165.1,127,14.03,141.5,142,6.37,10.8,3,2.92,1
222.2,202,26.09,282.2,288,20.28,228.2,208,6.82,8.2,6,2.22,1
440,404,48.9,486.6,444,44.84,468.8,404,4.88,44,8,8.44,13
485.9,85,54.46,440.7,95,40.46,485.7,445,8.56,45,5,4.05,13
696.9,666,66.66,666.6,66,69.66,669,609,9.06,66,6,9.66,13
244.1,71,41.5,203.4,58,17.29,234,115,10.53,7.7,4,2.08,1
233,203,32.22,222.3,22,23.26,206.2,23,9.29,3.2,6,2.33,1
223.3,93,22.23,33.9,22,2.23,229.3,32,3.09,23.2,3,3.2,1
444.8,66,40.08,486.8,444,44.88,444.6,46,6.64,4.6,8,4.08,22
286.9,92,82.32,320,288,20.2,200.9,62,9.02,8.8,8,2.82,22
223.2,230,29.32,239.3,230,23.36,260.6,96,22.23,22.6,2,3.23,21
263.9,223,23.22,223.9,99,20.33,266.3,203,22.93,2.9,2,0.23,21
223.2,220,36.32,292.2,69,26.23,262.2,222,2.29,20.6,20,2.36,9
294.2,229,44.22,203.2,94,9.04,242.2,92,2.04,4.4,4,2.24,1
448,89,44.68,448.8,404,44.94,448.4,484,40.04,46.4,8,4.84,0
2211.6,220,29.112,92.2,112,2.29,222.2,2011,9.1111,9.2,2,2.62,17
690.9,99,96.99,669,666,66.66,669.6,96,9.66,60.6,6,6.96,13
