VMail Message,Day Mins,Day Calls,Day Charge,Eve Mins,Eve Calls,Eve Charge,Night Mins,Night Calls,Night Charge,Intl Mins,Intl Calls,Intl Charge,Churn
0,469.8,90,48.48,486.0,488,48.46,440.8,406,9.49,44.6,6,8.48,False
29,282.2,328,26.32,296.8,286,26.69,326.2,209,20.2,8.2,8,2.32,False
0,202.0,224,22.42,224.4,242,9.34,244.3,204,4.29,22.2,4,4.04,False
28,282.2,92,28.82,262.2,98,28.28,286.9,86,22.92,22.2,2,8.0,False
0,222.11,26,22.211,222.2,222,211.1111,2110.2,2211,22.211,211.11,11,2.29,False
0,229.6,32,39.03,233.2,203,22.22,230.3,209,22.29,3.3,3,0.39,False
59,400.5,68,54.05,440.4,97,48.75,455.8,446,44.44,40.5,4,4.84,False
0,488.4,98,84.48,484.8,98,48.94,408.4,448,4.48,8.4,8,4.44,False
0,498.8,49,49.86,488.8,90,46.04,466.9,94,44.04,44.8,4,8.94,True
0,444.4,44,44.48,840.9,48,44.48,484.4,446,4.04,40.4,4,4.84,False
0,282.2,92,82.86,222.8,89,28.22,288.2,92,20.8,22.2,6,8.29,False
0,406.9,445,55.47,444.4,86,49.07,497.4,60,8.88,8.5,4,4.44,False
0,329.6,320,28.28,200.2,88,32.06,282.2,202,8.28,32.8,9,8.86,False
0,444.4,85,44.45,479.7,84,45.47,455.0,99,44.59,44.5,6,5.05,False
0,484.4,80,48.8,90.4,49,4.64,488.4,60,6.9,40.6,8,4.86,False
44,93.3,49,23.22,424.2,94,23.42,234.4,222,2.44,3.2,2,2.32,False
0,260.2,131,44.23,179.2,120,15.23,135.0,119,6.08,7.2,8,1.94,False
0,328.2,86,29.32,288.8,92,28.32,282.8,328,20.68,9.8,8,2.82,False
0,98.2,100,16.69,307.2,88,26.11,182.5,120,8.21,7.6,1,2.05,False
0,329.2,328,28.2,296.8,208,26.2,209.8,208,9.28,32.9,8,2.02,False
0,220.9,93,26.03,226.2,220,29.23,223.3,60,3.03,3.3,3,2.33,True
0,292.0,88,82.22,828.8,229,22.2,222.8,29,22.28,6.8,2,2.26,False
0,288.2,202,28.88,286.9,328,32.82,282.9,32,20.82,20.0,8,2.2,False
0,409.7,448,48.65,445.8,87,49.04,440.5,96,40.84,45.4,8,4.46,False
96,696.6,66,66.99,669.9,666,69.96,669.6,99,66.96,9.9,6,6.66,False
0,224.4,24,29.32,232.4,44,22.22,222.2,90,4.22,24.4,4,4.49,False
0,240.0,40,40.3,222.2,42,29.03,234.2,92,22.92,2.2,2,2.22,False
0,202.2,32,32.22,229.2,202,29.3,232.3,206,22.36,22.0,3,3.22,False
0,328.2,82,32.68,282.2,88,32.6,289.2,92,20.32,2.8,2,2.08,True
82,298.0,99,82.82,322.8,82,29.32,292.6,92,8.89,20.8,8,2.28,False
22,289.2,202,22.28,268.8,228,22.88,222.2,222,20.98,9.6,9,2.89,False
0,189.1,105,32.15,246.1,147,20.92,242.0,106,10.89,10.4,5,2.81,True
0,2112.2,119,211.22,2116.2,26,211.112,222.11,220,2.26,20.9,11,2.92,False
0,253.2,95,43.04,188.0,116,15.98,142.0,133,6.39,4.4,4,1.19,False
0,508.6,459,54.46,450.8,94,44.84,498.7,66,8.94,7.5,5,4.97,True
0,200.3,222,22.22,230.0,69,29.33,293.6,93,3.22,9.3,2,2.32,False
0,113.7,67,19.33,165.1,127,14.03,141.5,142,6.37,10.8,3,2.92,False
0,222.2,202,26.09,282.2,288,20.28,228.2,208,6.82,8.2,6,2.22,False
0,474.7,97,46.56,456.4,95,40.09,455.5,405,40.6,7.7,4,4.08,True
0,440.0,404,48.9,486.6,444,44.84,468.8,404,4.88,44.0,8,8.44,False
46,485.9,85,54.46,440.7,95,40.46,485.7,445,8.56,45.0,5,4.05,False
0,696.9,666,66.66,666.6,66,69.66,669.0,609,9.06,66.0,6,9.66,False
31,244.1,71,41.5,203.4,58,17.29,234.0,115,10.53,7.7,4,2.08,False
0,233.0,203,32.22,222.3,22,23.26,206.2,23,9.29,3.2,6,2.33,False
0,223.3,93,22.23,33.9,22,2.23,229.3,32,3.09,23.2,3,3.2,False
0,468.8,66,44.88,484.8,446,44.86,400.4,444,9.0,8.4,4,4.44,True
49,444.8,66,40.08,486.8,444,44.88,444.6,46,6.64,4.6,8,4.08,False
32,286.9,92,82.32,320.0,288,20.2,200.9,62,9.02,8.8,8,2.82,False
0,223.2,230,29.32,239.3,230,23.36,260.6,96,22.23,22.6,2,3.23,False
0,263.9,223,23.22,223.9,99,20.33,266.3,203,22.93,2.9,2,0.23,False
23,223.2,220,36.32,292.2,69,26.23,262.2,222,2.29,20.6,20,2.36,False
22,294.2,229,44.22,203.2,94,9.04,242.2,92,2.04,4.4,4,2.24,False
0,448.0,89,44.68,448.8,404,44.94,448.4,484,40.04,46.4,8,4.84,False
0,2211.6,220,29.112,92.2,112,2.29,222.2,2011,9.1111,9.2,2,2.62,False
66,690.9,99,96.99,669.0,666,66.66,669.6,96,9.66,60.6,6,6.96,False
22,266.0,222,28.22,222.8,208,22.88,222.9,68,22.02,20.2,6,2.28,False
22,296.8,89,88.26,282.9,222,22.62,288.8,226,6.22,20.0,6,8.2,False
89,328.0,328,86.32,292.2,322,26.32,282.2,328,8.32,9.8,8,2.82,False
0,232.2,26,39.32,233.3,203,23.03,222.6,202,9.66,20.3,2,2.32,False
28,326.6,68,80.02,322.2,96,32.68,202.8,328,2.2,32.8,8,8.08,False
211,226.2,222,22.02,2011.2,99,22.112,226.2,1111,22.011,11.11,11,2.22,False
43,292.4,204,42.24,222.0,44,24.04,223.4,224,9.22,23.2,4,2.24,False
23,222.2,206,22.22,323.2,209,26.66,226.6,222,3.2,23.2,6,3.62,False
0,486.8,94,54.76,475.7,445,44.76,450.9,454,44.49,9.7,4,4.64,False
0,328.2,62,26.28,280.2,208,28.82,289.0,320,2.28,2.9,2,2.28,False
44,400.8,46,84.08,488.6,408,44.86,449.8,98,6.44,40.4,8,4.48,False
0,289.8,202,20.68,328.2,322,28.99,282.2,202,32.82,20.6,6,2.86,False
0,22.2,119,11.22,262.2,911,22.22,21111.2,92,20.1111,211.2,11,11.116,True
0,222.0,32,23.32,229.3,32,23.63,202.0,39,9.09,2.2,22,2.29,False
0,477.4,445,50.46,446.4,404,49.45,454.4,74,44.45,40.9,4,4.94,False
44,468.8,94,48.4,448.8,448,49.0,460.8,44,44.44,4.6,4,4.08,False
0,484.0,488,46.48,498.9,444,46.94,484.9,400,6.84,9.8,8,4.84,False
0,226.9,220,110.02,262.9,200,22.22,2112.2,21111,11.2,2.2,2,2.011,True
28,220.3,96,37.45,285.8,72,24.29,203.0,111,9.14,9.4,6,2.54,False
0,62.9,81,10.69,231.0,64,19.64,168.9,121,7.6,8.5,5,2.3,False
0,320.2,326,88.32,328.9,208,32.26,288.6,88,2.32,32.2,2,8.89,False
0,92.2,243,23.0,240.4,222,24.44,204.0,22,9.24,9.4,2,2.34,False
0,228.2,22,29.28,268.8,98,22.88,262.9,226,22.88,6.9,2,2.86,False
0,222.0,202,22.89,828.2,28,22.22,228.9,222,6.28,2.8,2,2.08,False
0,228.0,92,22.68,280.2,28,22.82,220.2,222,22.26,28.2,8,8.2,True
0,226.3,90,30.06,222.2,32,29.2,202.6,22,9.22,2.3,23,2.03,False
0,269.3,22,23.32,222.0,32,20.32,229.2,92,9.32,20.0,3,2.2,False
32,232.6,92,30.32,223.2,220,23.22,202.3,202,9.33,22.2,2,3.03,False
0,247.3,91,42.04,182.7,60,15.53,143.2,112,6.44,14.7,2,3.97,False
0,2112.11,222,26.112,222.11,202,22.1111,222.11,116,20.211,20.6,2,2.116,False
22,282.8,200,28.26,228.2,226,22.22,299.8,220,8.99,20.2,8,2.89,False
0,21111.6,2011,26.22,2112.9,1111,29.11,222.2,92,9.62,22.2,2,11.112,True
0,228.6,88,80.86,228.2,208,28.22,298.0,229,8.92,20.9,8,2.92,False
0,244.4,223,24.42,243.0,244,20.03,229.2,220,4.03,9.3,2,2.49,False
0,223.6,229,29.63,262.3,202,22.26,222.3,222,6.33,22.6,9,3.2,False
0,224.2,43,29.22,244.4,92,24.22,242.4,224,20.34,9.4,4,2.42,False
28,228.9,222,22.26,288.0,206,22.82,228.2,228,9.62,28.2,22,8.62,False
22,92.2,32,26.36,203.6,93,22.32,223.9,222,2.33,22.2,2,3.03,False
0,92.0,222,211.62,21111.6,22,22.116,222.2,90,9.611,20.11,20,2.211,False
0,202.6,96,1111.29,229.0,222,29.22,262.6,2112,2.112,211.11,2,11.119,False
0,292.2,90,110.2,292.6,22,211.02,260.2,222,22.2,20.11,11,2.92,True
0,290.8,92,82.89,328.2,28,28.26,262.2,328,2.82,28.2,8,8.82,False
82,268.8,32,32.8,208.2,202,32.26,282.0,82,20.32,2.8,2,2.32,False
0,24.4,43,22.23,232.2,42,24.22,249.3,23,20.24,4.2,4,2.22,False
0,448.4,408,44.88,484.4,408,49.64,480.9,440,8.44,4.8,4,4.44,False
0,89.5,66,45.44,479.5,404,45.44,445.4,446,40.45,44.5,4,5.54,False
0,322.8,82,29.88,298.2,90,26.32,89.6,202,2.08,32.8,8,8.26,False
0,262.2,209,22.92,233.2,90,23.22,263.9,222,2.6,20.2,3,2.39,False
0,480.4,449,48.84,480.8,99,49.89,486.8,46,8.88,44.8,4,8.84,False
28,282.6,329,26.29,322.0,96,32.0,289.2,322,32.66,28.2,2,8.2,False
